"Reference","Value","Datasheet","Footprint","Qty","DNP","LCSC","Comment"
"C1,C2,C3","4.7uF","~","Capacitor_SMD:C_0402_1005Metric","3","","C23733","Samsung Electro-Mechanics CL05A475MP5NRNC"
"C4,C5,C6,C7,C8","0.1uF","~","Capacitor_SMD:C_0402_1005Metric","5","","C1525","Samsung Electro-Mechanics CL05B104KO5NNNC"
"C9","4.7uF/DNP/DNP","~","Capacitor_SMD:C_0402_1005Metric","1","","C23733","Samsung Electro-Mechanics CL05A475MP5NRNC"
"C10,C11","33pF","~","Capacitor_SMD:C_0402_1005Metric","2","","C1562","Samsung Electro-Mechanics CL05B104KO5NNNC"
"D1","LED_Small","~","LED_SMD:LED_0603_1608Metric","1","","C2286",""
"D2,D3","MSK4005","","Diode_SMD:D_SOD-523","2","","C345957",""
"J6","USB_B_Micro","~","piers global:USB_Micro-B_micro_xnj_073_C404969","1","","C404969",""
"R1,R2","4K7","~","Resistor_SMD:R_0402_1005Metric","2","","C25900","UNI-ROYAL(Uniroyal Elec) 0402WGF4701TCE"
"R3","1K","~","Resistor_SMD:R_0402_1005Metric","1","","C11702","UNI-ROYAL(Uniroyal Elec) 0402WGF1001TCE"
"R4","10K","~","Resistor_SMD:R_0402_1005Metric","1","","C25744","UNI-ROYAL(Uniroyal Elec) 0402WGF1002TCE"
"RC4,RC5","0R/4.7uF/DNP","~","Capacitor_SMD:C_0402_1005Metric","2","","C17168","UNI-ROYAL(Uniroyal Elec) 0402WGF0000TCE"
"U1","STM32F411RET6","https://www.st.com/resource/en/datasheet/stm32f411rc.pdf","Package_QFP:LQFP-64_10x10mm_P0.5mm","1","","C94355",""
"U3","AP2112K-3.3","","Package_TO_SOT_SMD:SOT-23-5","1","","C51118",""
"U4","USBLC6-2P6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf","Package_TO_SOT_SMD:SOT-666","1","","C15999",""
"Y1","12MHz","~","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","1","","C9002",""
