Ref,Val,Package,Mid X,Mid Y,Rotation,Side
"C1","4.7uF","C_0402_1005Metric",106.400600,-37.515800,-90.000000,top
"C2","4.7uF","C_0402_1005Metric",106.400600,-39.344600,90.000000,top
"C3","4.7uF","C_0402_1005Metric",108.991400,-41.224200,0.000000,top
"C4","0.1uF","C_0402_1005Metric",114.960400,-47.548800,0.000000,top
"C5","0.1uF","C_0402_1005Metric",103.555800,-47.752000,180.000000,top
"C6","0.1uF","C_0402_1005Metric",103.555800,-46.786800,180.000000,top
"C7","4.7uF","C_0402_1005Metric",103.886000,-42.214800,180.000000,top
"C8","0.1uF","C_0402_1005Metric",112.191800,-41.122600,0.000000,top
"C9","0.1uF","C_0402_1005Metric",103.835200,-51.917600,-90.000000,top
"C10","0.1uF","C_0402_1005Metric",103.911400,-43.180000,180.000000,top
"C11","0.1uF","C_0402_1005Metric",109.575600,-52.832000,-90.000000,top
"C12","0.1uF","C_0402_1005Metric",115.417600,-44.069000,90.000000,top
"C13","4.7uF","C_0402_1005Metric",114.376200,-50.342800,0.000000,top
"C15","4.7uF","C_0402_1005Metric",104.800400,-51.917600,90.000000,top
"C16","4.7uF","C_0402_1005Metric_small_pads",106.990690,-51.472043,180.000000,top
"C17","4.7uF","C_0402_1005Metric_small_pads",106.990690,-52.411843,180.000000,top
"C18","15pF","C_0402_1005Metric",112.826800,-39.268400,90.000000,top
"C19","15pF","C_0402_1005Metric",111.861600,-39.268400,90.000000,top
"D1","LED_Small","LED_0603_1608Metric",103.657400,-59.766200,90.000000,top
"D2","1N5819WS","D_SOD-323",114.325400,-39.725600,90.000000,top
"D3","1N5819WS","D_SOD-323",114.833400,-59.783000,90.000000,top
"J6","USB_B_Micro","USB_Micro-B_micro_xnj_073_C404969",109.220000,-58.180600,0.000000,top
"L1","3.3u","L_pol_2016",106.990690,-54.088243,0.000000,top
"R1","10K","R_0402_1005Metric",106.349800,-41.452800,0.000000,top
"R2","1K","R_0402_1005Metric",114.376200,-51.467100,0.000000,top
"R3","10K","R_0402_1005Metric",112.496600,-51.467100,180.000000,top
"R4","33R","R_0402_1005Metric",104.800400,-53.797200,-90.000000,top
"R5","1K","R_0402_1005Metric",103.632000,-57.785000,180.000000,top
"R6","1K","R_0402_1005Metric",110.896400,-39.268400,90.000000,top
"R7","10K","R_0402_1005Metric",103.630000,-56.819800,180.000000,top
"R8","10K","R_0402_1005Metric",103.630000,-55.854600,0.000000,top
"U1","RP2350_60QFN","RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias",109.220000,-46.750200,180.000000,top
"U3","AP2112K-3.3","SOT-23-5",104.216200,-38.658800,180.000000,top
"U4","USBLC6-2P6","SOT-666",114.808000,-56.743600,90.000000,top
"U5","W25Q16JVSS","Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm",113.452300,-53.219700,-90.000000,top
"Y1","Crystal_GND24","Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm",108.635800,-38.397000,90.000000,top
